,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價
2332,友訊,20180611,15.4,,,0.0032467532467531776,-0.3636363636363636
2338,光罩,20181213,20.55,,,0.0024330900243309346,-0.1046228710462288
2340,光磊,20180806,26.5,,,0.003773584905660431,-0.4358490566037736
2342,茂矽,20181206,27.2,,,0.01838235294117647,-0.27205882352941174
2345,智邦,20180903,113.0,,,0.008849557522123894,-0.28938053097345134
2347,聯強,20180821,41.35,,,0.03869407496977029,-0.19951632406287786
2348,海悅,20181228,43.9,,,0.059225512528473835,0.059225512528473835
2349,錸德,20181228,6.63,,,0.6591251885369532,0.6591251885369532
2351,順德,20180615,98.8,,,0.01214574898785428,-0.4281376518218623
2353,宏碁,20181003,24.9,,,0.012048192771084366,-0.23895582329317266
2356,英業達,20181001,27.1,,,0.01660516605166049,-0.20848708487084877
2358,廷鑫,20180621,29.0,,,0.0034482758620690145,-0.4724137931034483
2359,所羅門,20180206,25.45,,,0.0019646365422397137,-0.35559921414538315
2360,致茂,20180810,188.0,,,0.013297872340425532,-0.43351063829787234
2362,藍天,20180813,33.9,,,0.007374631268436578,-0.2861356932153392
2363,矽統,20181002,10.15,,,0.019704433497536877,-0.30837438423645325
2364,倫飛,20181228,3.43,,,0.2798833819241981,0.2798833819241981
2365,昆盈,20180810,11.25,,,0.013333333333333365,-0.26488888888888895
2368,金像電,20181228,13.1,,,0.01145038167938934,0.01145038167938934
2371,大同,20181228,20.65,,,0.2736077481840195,0.2736077481840195
2373,震旦行,20181228,95.4,,,0.010482180293501047,0.010482180293501047
2375,凱美,20181003,45.3,,,0.01766004415011047,-0.38962472406181015
2376,技嘉,20180815,56.8,,,0.014084507042253596,-0.3397887323943662
2377,微星,20180912,90.9,,,0.002200220022002075,-0.28052805280528054
2379,瑞昱,20181228,133.0,,,0.08270676691729323,0.08270676691729323
2388,威盛,20181228,16.25,,,0.6738461538461538,0.6738461538461538
2397,友通,20181009,66.8,,,0.005988023952095894,-0.1601796407185628
2399,映泰,20180522,19.3,,,0.018134715025906623,-0.5145077720207254
2404,漢唐,20181228,72.7,,,0.23383768913342504,0.23383768913342504
2408,南亞科,20180625,91.2,,,0.002192982456140382,-0.48574561403508776
2409,友達,20180129,14.4,,,0.0034722222222221483,-0.1909722222222222
2413,環科,20181204,24.0,,,0.004166666666666726,-0.17499999999999996
2414,精技,20180704,21.8,,,0.0045871559633026545,-0.1697247706422018
2424,隴華,20180611,42.0,,,0.011904761904761904,-0.38095238095238093
2425,承啟,20181228,26.45,,,0.45179584120982985,0.45179584120982985
2426,鼎元,20181206,17.85,,,0.014005602240896357,-0.09523809523809539
2427,三商電,20181227,11.1,,,0.004504504504504569,-0.004504504504504409
2433,互盛電,20180608,47.65,,,0.00944386149003154,-0.18572927597061914
2434,統懋,20181005,12.8,,,0.015624999999999944,-0.29609375000000004
2440,太空梭,20180628,12.2,,,0.004098360655737763,-0.40983606557377045
2441,超豐,20180419,56.8,,,0.0017605633802817153,-0.3265845070422535
2442,新美齊,20181228,9.6,,,0.2604166666666667,0.2604166666666667
2453,凌群,20180118,16.0,,,0.018750000000000044,-0.31875
2454,聯發科,20180424,350.5,,,0.009985734664764621,-0.4065620542082739
2455,全新,20180620,118.5,,,0.008438818565400843,-0.5451476793248945
2456,奇力新,20180828,114.0,,,0.017543859649122806,-0.3403508771929824
2458,義隆,20181228,54.9,,,0.37887067395264123,0.37887067395264123
2460,建通,20180411,17.15,,,0.0029154518950437734,-0.4752186588921282
2464,盟立,20180202,53.3,,,0.0018761726078799516,-0.2908067542213884
2465,麗臺,20180411,26.0,,,0.009615384615384616,-0.6076923076923078
2466,冠西電,20180419,40.0,,,0.027500000000000035,-0.27375
2467,志聖,20180608,29.75,,,0.003361344537815174,-0.1983193277310924
2468,華經,20181112,11.95,,,0.041841004184100423,-0.08786610878661079
2472,立隆電,20180730,67.9,,,0.030927835051546306,-0.40795287187039764
2477,美隆電,20180201,36.5,,,0.0136986301369863,-0.5150684931506849
2478,大毅,20181228,38.75,,,0.3419354838709677,0.3419354838709677
2480,敦陽科,20181228,36.4,,,0.05219780219780216,0.05219780219780216
2481,強茂,20180910,35.35,,,0.060820367751060776,-0.40876944837340884
2484,希華,20180125,23.0,,,0.0021739130434782917,-0.358695652173913
2486,一詮,20180802,12.9,,,0.003875968992247979,-0.3604651162790698
2491,吉祥全,20180612,9.26,,,0.1447084233261339,-0.49784017278617704
2492,華新科,20181228,119.5,,,0.33472803347280333,0.33472803347280333
2504,國產,20180727,10.2,,,0.004901960784313796,-0.203921568627451
2509,全坤建,20181228,25.6,,,0.10937499999999989,0.10937499999999989
2511,太子,20180123,12.75,,,0.007843137254901933,-0.21176470588235288
2515,中工,20181004,8.58,,,0.011655011655011614,-0.1911421911421911
2524,京城,20181228,25.0,,,0.05799999999999997,0.05799999999999997
2527,宏璟,20181113,24.95,,,0.06012024048096193,-0.09218436873747499
2534,宏盛,20181213,26.45,,,0.00945179584120983,-0.04536862003780716
2535,達欣工,20181004,21.1,,,0.002369668246445363,-0.1208530805687204
2540,愛山林,20180608,34.3,,,0.005830903790087547,-0.3221574344023323
2546,根基,20181228,21.5,,,0.27441860465116275,0.27441860465116275
2547,日勝生,20181217,15.45,,,0.0032362459546926028,-0.11974110032362457
2548,華固,20180326,73.0,,,0.00684931506849315,-0.14657534246575346
2596,綠意,20181003,22.5,,,0.022222222222222223,-0.06888888888888892
