,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,PrevYearHighest
5483_20201214,20201214.0,172.5,0.2,-0.1188405797101449,,2.705,-5.11,7.815,54.79,45.85,40.13,41.5,0.416,45.96,72.1,0.1562,2.9007,1.9857,1.2735,153.5
5531_20201214,20201214.0,16.8,0.1964285714285714,-0.3452380952380953,,-46.56,-16.27,-30.290000000000003,95.05,70.05,60.21,47.04,0.466,39.97,65.41,0.1607,-0.4441,0.3642,0.7259,14.4
5609_20201214,20201214.0,71.6,0.96927374301676,-0.2039106145251396,,30.275,22.205,8.07,23.31,26.05,38.89,44.91,0.444,10.33,73.12,0.3658,0.4676,1.215,0.9048,28.4
6104_20201214,20201214.0,75.0,0.0826666666666667,-0.296,,20.82,20.535,0.2850000000000001,46.38,42.9,49.3,52.52,0.522,2.48,41.86,0.274,1.998,1.9104,1.2989,39.65
6116_20201214,20201214.0,13.7,1.2408759124087592,-0.1277372262773722,,50.875,38.96,11.915,44.57,45.56,46.06,46.35,0.459,35.42,72.65,0.1976,0.9618,1.2157,1.2829,11.05
6125_20201214,20201214.0,29.5,0.0627118644067797,-0.3067796610169492,,38.73,-7.654999999999999,46.385000000000005,49.27,47.27,47.38,48.1,0.48,-8.62,45.44,0.2672,0.5508,0.8811,1.0486,17.0
6126_20201214,20201214.0,25.65,0.3625730994152049,-0.1072124756335282,,17.575,19.33,-1.754999999999999,39.17,34.99,34.36,40.41,0.403,4.49,43.77,0.2266,0.49,0.8374,0.8989,16.3
6165_20201214,20201214.0,56.8,0.0,-0.4639084507042253,,129883.35,85670.78,44212.56999999999,55.46,74.82,76.73,66.86,0.666,-15.04,48.27,0.4261,-0.8324,0.6262,1.1007,33.8
6187_20201214,20201214.0,91.0,0.7362637362637363,-0.0604395604395604,,78.82,70.47,8.349999999999994,47.2,46.27,45.16,49.35,0.49,15.6,70.22,0.2645,2.5505,1.7942,1.2055,77.7
6191_20201214,20201214.0,26.9,0.4052044609665427,-0.107806691449814,,16.16,10.05,6.109999999999999,42.63,42.86,40.16,47.57,0.473,14.83,52.99,0.1076,1.7655,1.4268,1.4241,18.35
6203_20201214,20201214.0,80.1,0.641697877652934,-0.0511860174781522,,100.865,69.71000000000001,31.155,42.63,33.1,34.33,49.39,0.492,5.97,40.53,0.2357,1.9087,1.4335,1.2687,54.5
6205_20201214,20201214.0,48.25,0.1398963730569948,-0.3844559585492228,,9.78,-0.5850000000000004,10.365,60.71,45.48,40.22,43.59,0.432,23.81,57.07,0.2302,0.2885,0.5189,0.8175,31.45
6229_20201214,20201214.0,31.6,0.4620253164556962,-0.1186708860759493,,33.2,-6.4350000000000005,39.635000000000005,80.45,61.9,64.72,53.22,0.527,25.22,73.3,0.2553,0.306,1.8487,0.9229,21.0
6233_20201214,20201214.0,32.35,0.7125193199381761,-0.044822256568779,,14.25,10.255,3.995000000000001,81.69,66.61,75.79,69.21,0.686,17.95,96.41,0.233,0.5874,1.4878,1.7121,17.05
6237_20201214,20201214.0,48.45,2.653250773993808,-0.0072239422084623,,203.95,232.78,-28.829999999999984,55.34,52.91,59.45,64.9,0.644,8.16,69.87,0.3516,0.9757,2.5471,1.5653,40.8
6284_20201214,20201214.0,64.3,0.4494556765163298,-0.2083981337480559,,30.87,31.15,-0.2799999999999976,62.48,58.65,56.61,54.07,0.538,28.19,69.3,0.0983,-0.4345,1.5403,1.6421,57.5
